depression,1.27,0.72,4.54,3.35
dream,6.92,1.83,4.62,2.91
derelict,4.1,1.77,4.09,2.18
dreary,2.86,1.71,2.91,2.27
deserter,1.9,1.32,5.86,2.63
dress,6.77,1.45,3.65,1.92
desire,7.65,1.5,7.46,1.63
drown,1.88,1.24,6.46,2.02
despairing,2.19,1.06,5.72,2.39
dummy,3.76,1.95,4.32,2.36
despise,2,1.5,6.52,2.49
dump,2.73,1.61,4.05,2.16
destroy,2.12,1.42,7.04,2.18
dustpan,3.73,1.61,3.5,2.2
destruction,2.04,1.71,5.58,2.86
earth,7.35,1.65,4.32,2.7
detached,3.88,1.82,4.31,2.65
easy,7.11,1.7,3.47,2.82
detail,5.35,1.69,3.8,2.12
easygoing,7.38,1.52,4.43,2.54
detest,1.92,1.13,6.15,2.49
eat,7.05,1.93,5,2.49
devil,1.96,1.91,6.76,2.33
ecstasy,7.8,1.88,6.9,2.29
devoted,7.52,1.35,5.07,2.34
education,6.8,2.06,5.85,2.52
diamond,7.92,1.13,5.8,2.97
egg,5.42,1.96,4,2.22
dignified,7.29,1.4,4.62,2.41
elated,7.43,1.95,6.22,2.47
dinner,6.85,1.71,5.35,1.9
elbow,5.32,1.17,4.1,2.19
diploma,8.18,1.5,5.68,3.09
elegant,7.56,1.13,4.39,2.55
dirt,3.9,1.59,4.15,2.16
elevator,5.76,1.48,4.73,1.75
dirty,2.35,1.26,4.58,1.77
embarrassed,2.43,1.41,5.87,2.69
disappoint,2.26,1.42,5.13,2.72
embattled,4.15,1.35,5.15,2.43
disaster,1.2,0.52,6.6,2.89
employment,6.72,1.7,5.2,2.16
discomfort,1.95,0.83,4.65,2.56
engaged,8.34,1.2,7.14,2.09
discouraged,3,2.68,4.87,1.94
engine,5.09,1.23,3.66,2.38
disdainful,3.56,2,5.22,2.3
enjoyment,7.88,1.2,4.8,2.72
disgusted,2.35,1.4,6.04,2.51
ennui,5.06,1.82,4.58,2.31
disloyal,1.65,1.65,7.04,1.78
enraged,2.52,1.68,8,2.22
displeased,2.81,2.32,6.15,2.43
erotic,6.73,1.59,6.77,2.03
distressed,1.91,1.28,6.39,2.54
errand,4.88,1.03,4.08,1.78
disturb,3.65,2.19,5.85,2.68
event,6,1.26,4.55,2.19
diver,6.31,1.49,5.12,1.68
evil,2.46,2.35,6.27,2.54
excellence,8.41,1.02,5.83,2.78
foam,6.67,2.2,6.18,2.48
excitement,7.83,2.09,8.07,1.46
food,7.42,1.65,6.42,1.58
excuse,4.19,1.02,4.2,2.02
foot,5,1.02,3.12,2.08
execution,1.78,1.54,5.83,2.77
fork,5.12,0.82,3.88,1.68
exercise,7.26,1.36,6.65,1.99
foul,2.73,1.73,4.76,2.05
fabric,5.38,0.97,4.32,2.15
fragrance,5.96,2.31,4.19,2.45
face,6.65,1.41,5.31,2
fraud,2.65,1.67,5.92,2.65
failure,1.36,0.81,5.52,2.86
free,8.48,0.9,5.17,3.11
fall,4.32,2.23,4.81,2.32
freedom,7.62,2.3,5.08,3.01
FALSE,3.3,1.22,3.6,1.96
friend,8.12,1.21,5.35,2.84
fame,7.93,1.31,7.14,1.96
friendly,8.5,1.14,5.28,3.23
family,7.77,1.37,4.64,2.81
frigid,3.54,2.16,4.85,2.57
famous,6.69,2.49,5.68,2.66
frog,5.62,1.98,4.38,1.96
fantasy,7.42,2.16,4.54,2.94
frustrated,2.31,1.72,5.65,2.92
farm,5.65,1.74,4.19,1.96
fun,8.5,0.86,7.32,2.06
fascinate,7.44,1.39,5.72,2.82
funeral,1.23,0.87,5.55,3.38
fat,1.75,1.62,6.5,2.54
fungus,2.65,1.87,4.91,2.45
father,7.26,2.24,6.22,2.35
fur,4,1.81,4.48,2.47
fatigued,3.05,1.54,2.6,2.39
game,6.52,2.45,5.58,2.53
fault,3.75,1.07,4.45,1.36
gangrene,2.06,1.78,5.59,3.03
favor,6.36,1.53,4.23,1.8
garbage,2.62,1.9,5.64,2.36
fear,1.85,1.22,7.19,1.86
garden,7,1.52,4,2.45
fearful,2.31,1.26,6.65,2.23
garment,6.52,1.71,4.88,2.69
feeble,3.04,1.28,4.2,1.83
garter,5.54,1.36,4.88,2.03
festive,7.32,2.79,6.54,2.44
gender,5.86,1.93,4.41,2.13
fever,2.48,1.66,4.73,2.64
gentle,7.45,1.27,3.31,2.74
field,6.31,1.49,4.12,2.58
germs,2.81,1.5,4.68,2.28
fight,2.65,2.06,7.4,2.01
gift,8.38,1.61,6.59,2.64
filth,2.04,1.37,5.85,2.44
girl,6.31,1.49,3.04,2.15
finger,5.3,1.45,3.5,2.7
glacier,5.39,1.31,4.04,2.57
fire,2.85,2.15,7.44,1.94
glamour,7.17,1.37,4.74,2.28
fireworks,7.31,1.78,6.77,2.12
glass,4.92,1.09,4.15,2.03
fish,5.88,1.66,4.15,1.85
gloom,1.79,1.15,3.68,2.2
flabby,1.52,0.82,5.68,2.9
glory,7.62,1.74,5.97,2.89
flag,6.14,1.46,3.86,2.29
god,7.95,1.36,5.8,2.88
flirt,7.57,1.36,6.91,1.77
gold,7.35,1.87,5.43,3.03
flood,2.68,1.64,6.09,2.07
golfer,5.46,1.75,3.62,2.02
flower,7,1.85,3.65,2.53
good,7.59,1.59,6.05,2.36
gossip,3.23,2.6,6.32,2.42
heaven,7.41,2.45,5.16,3.32
graduate,8.35,0.88,7,2.43
hell,1.67,1.35,6.05,2.72
grass,6.38,1.56,3.67,2.01
helpless,2.19,1.55,5.62,2.48
grateful,7.39,1.08,4.78,2.37
heroin,4.79,2.99,5.67,2.41
greed,2.85,1.31,4,2
hide,3.97,1.94,5.66,2.46
green,6.48,2.01,4.1,2.48
highway,5.8,1.8,5.52,2.26
greet,7.05,1.61,5.25,2.67
hinder,3.75,1.16,4.15,2.16
grenade,3.32,1.84,5.91,2.54
history,4.77,2.03,3.81,2.4
grief,1.65,0.89,4.81,2.9
hit,3.27,2.03,6.04,1.68
grime,2.86,1.28,3.64,2.26
holiday,7.75,1.96,6.17,3.03
grin,7.79,1.53,4.92,2.43
home,8.04,1.4,4.16,3.13
gripe,3.05,1.7,5.05,2.1
honest,8,1.31,5.09,2.15
guillotine,1.82,1.59,6.69,2.48
honey,6.91,1.57,4.5,2.39
guilty,2.54,2.4,6.81,2.51
honor,7.69,1.29,5.77,2.01
gun,2.27,1.71,6.96,1.75
hooker,2.32,1.62,4,3.06
gymnast,6.27,1.87,5.54,2.04
hope,7.32,2.19,5.88,2.36
habit,4.08,1.98,4.04,2.37
hopeful,7.12,1.68,5.5,2.44
hairdryer,4.8,0.91,3.62,1.86
horror,2.48,2.2,7.69,2.04
hairpin,5.13,1.36,3.22,2.35
horse,6,1.72,4.04,2.32
hamburger,5.68,1.25,4.18,2.04
hospital,5.04,2.86,6.73,2.43
hammer,5,1.08,4.5,1.7
hostage,2.15,1.97,7.73,1.85
hand,6.05,1.43,4.43,1.83
hostile,2.38,1.33,6.23,2.42
handicap,2.95,1.15,3.95,2.09
hotel,5.52,1.87,4.46,2.42
handsome,8.09,1.44,6.55,2.46
house,7.23,1.9,5.04,2.18
haphazard,4.45,1.19,4.5,2.16
hug,8.17,1.77,5.26,3.03
happy,8.19,2.06,6.19,2.8
humane,7.38,1.5,4.27,2.22
hard,4.82,1.59,4.86,2.21
humble,5.76,1.33,3.88,2.35
hardship,1.95,1.33,5.05,2.71
humiliate,2.27,1.52,5.95,2.55
hat,5.36,1.36,3.73,1.86
humor,8.69,0.74,5.96,2.99
hate,1.79,1.32,6.79,2.66
hungry,3.52,1.83,5.09,2.29
hatred,1.69,1.69,6.76,2.52
