embarrassed,3.93,2.12,5.87,2.42
disappoint,2.6,1.5,4.6,2.59
embattled,5,2.16,5.9,2.23
disaster,2.25,1.33,6.05,2.54
employment,5.73,2.05,5.33,2.02
discomfort,2.41,1.5,3.73,2.29
engaged,7.33,1.5,6.07,1.91
discouraged,3,1,4,2.33
engine,5.27,1.49,4.93,2.19
disdainful,3.93,1.71,4.67,1.76
enjoyment,7.7,1.22,5.7,2.7
disgusted,2.6,1.45,4.47,2.47
ennui,5.17,1.64,3.92,2.43
disloyal,2.38,1.5,5.82,2.63
enraged,2.3,1.64,7.9,2.13
displeased,2.76,2.17,4.81,2.4
erotic,8.16,1.07,7.72,1.81
distressed,2,0.63,6.42,2.15
errand,4.36,1.78,4,1.91
disturb,3.67,1.75,5.72,1.96
event,6.41,1.92,5.59,2.52
diver,6.6,1.63,4.96,2.49
evil,4.33,2.7,6.56,2.36
excellence,8.3,0.82,4.7,2.26
foam,5.45,1.67,4.25,2.24
excitement,6.87,2.36,6.93,2.43
food,7.88,0.97,5.4,2.47
excuse,3.82,1.88,4.88,2.64
foot,5.06,0.8,3.5,1.86
execution,3.27,2.46,5.53,2.77
fork,5.48,1.08,4.04,2.21
exercise,6.93,1.91,7.13,2.2
foul,2.94,1.14,5.18,2.53
fabric,5.21,1.44,3.95,1.82
fragrance,6.24,1.35,5.75,2.46
face,6.12,1.76,4.76,2.37
fraud,2.7,1.7,5.3,1.89
failure,2.27,1.22,4,2.54
free,7.83,1.85,5.09,3.02
fall,3.86,2.22,4.81,2.54
freedom,7.53,1.62,6.25,2.05
FALSE,3.24,1.58,3.27,2.23
friend,7.18,1.07,6.38,1.96
fame,7.92,1.31,5.17,3.01
friendly,8.29,0.99,4.77,2.42
family,7.5,1.79,5,2.64
frigid,3.44,1.34,4.61,2.62
famous,7.39,1.2,6.11,2.47
frog,5.87,1.25,4.8,2.18
fantasy,7.39,1.5,6,2.45
frustrated,2.7,1.56,5.55,2.61
farm,5.4,1.98,3.6,1.94
fun,8.21,1.36,7.11,2
fascinate,7.13,2.23,6.07,2.6
funeral,1.64,0.84,4,2.77
fat,2.94,2.11,2.82,1.47
fungus,3.83,1.19,4.18,2.09
father,6.8,2.18,5.47,2.97
fur,5.5,1.68,3.55,2.38
fatigued,3.56,1.26,2.69,1.99
game,7.58,0.77,6.32,2.11
fault,3.14,1.58,3.73,1.91
gangrene,2.73,2.15,5.93,2.91
favor,6.58,1.54,4.89,1.91
garbage,3.45,1.99,4.3,2.54
fear,3.75,2.45,6.71,2.48
garden,6.43,1.91,4.76,2.26
fearful,2.1,0.99,5.5,2.32
garment,5.47,1.26,3.95,2.17
feeble,3.59,1.7,3.94,2.44
garter,6.92,1.53,6.08,2.14
festive,7.26,1.33,6.63,2.14
gender,5.6,1.05,4.35,2.18
fever,3.05,1.61,3.8,1.82
gentle,6.9,1.37,2.9,2.08
field,6.08,1.26,4.04,2.26
germs,2.9,1.3,4.29,2.24
fight,4.81,2.73,6.9,2.36
gift,6.6,2.82,5.27,2.87
filth,3.12,1.93,3.94,1.53
girl,7.6,1.57,5.85,2.52
finger,5.29,1.42,4.05,2.16
glacier,5.67,1.18,4.53,1.85
fire,4.2,1.48,6.5,2.32
glamour,6.13,1.77,4.6,2.23
fireworks,7.8,1.12,6.56,2.16
glass,4.5,1.72,4.44,2.18
fish,6.2,2.22,3.84,2.53
gloom,2.08,1.44,4.17,2.69
flabby,4.16,1.8,3.68,2.31
glory,7.4,1.59,6.13,2.39
flag,5.9,1.89,5.4,2.19
god,8.35,1.18,6.1,2.86
flirt,7.48,1.03,6.9,1.64
gold,7.92,1,6.45,2.16
flood,3.75,1.52,5.9,2.02
golfer,5.76,2.13,3.84,2.53
flower,6.06,1.53,4.6,2.23
good,7.33,1.28,5.05,3.09
gossip,3.75,2.02,5.1,2.22
heaven,7.07,2.34,6.53,2.83
graduate,8,1.37,7.56,2.03
hell,2.85,1.69,4.65,2.37
grass,5.85,1.27,4.85,1.93
helpless,2.2,1.21,4.87,2.59
grateful,7.33,0.82,4.27,1.75
heroin,3.85,2.35,4.45,2.98
greed,4.14,2.22,5.38,2.33
hide,5.07,1.67,4.47,2.5
green,5.3,2,4.8,2.44
highway,6.04,1.67,4.8,2.6
greet,6.95,1.47,5.29,1.98
hinder,3.86,1.64,4.09,1.93
grenade,3.9,1.92,5.48,2.54
history,6,1.79,4.12,2.18
grief,1.8,1.4,4.7,2.83
hit,5.44,2.16,5.4,2.43
grime,3.95,1.18,4.37,2.31
holiday,7.3,2.36,7.1,2.29
grin,6.89,2.16,5.7,2.87
home,7.71,1.96,4.29,2.73
gripe,3.25,1.41,4.95,2.33
honest,7.21,1.53,5.71,1.44
guillotine,4,2.45,6.25,2.77
honey,6.53,1.87,4.53,2.14
guilty,2.75,1.29,5.05,2.8
honor,7.6,1.18,6.13,1.51
gun,4.72,2.57,7.08,1.96
hooker,4.53,2.46,6,2.13
gymnast,6.44,1.73,4.48,2.28
hope,6.67,1.57,4.84,2.57
habit,4.15,1.53,3.85,1.81
hopeful,7.07,1.03,6.27,1.22
hairdryer,4.88,0.78,3.8,1.66
horror,3.18,2.32,6.44,2.13
hairpin,5.4,1.57,3.5,2.48
horse,5.6,0.97,3.5,1.78
hamburger,6.95,1.51,4.95,2.24
hospital,5.05,1.85,5,2.41
hammer,4.75,1.25,4.65,2.35
hostage,2.25,1.59,5.5,3
hand,5.84,1.34,4.6,2.16
hostile,3.33,1.63,6.8,2.04
handicap,3.62,2.06,3.68,2.46
hotel,6.67,1.41,5.26,2.66
handsome,7.5,1.51,4.42,2.87
house,7.29,1.55,4.04,2.58
haphazard,3.64,1.5,3.68,2.17
hug,7.67,0.98,5.55,2.21
happy,8.25,1.39,7,2.73
humane,6.17,1.76,4.83,1.34
hard,5.68,2,5.42,2.19
humble,6,1.58,3.53,2.35
hardship,3,1.75,4.7,2.23
humiliate,2.2,1.15,6.35,2.3
hat,5.58,1.39,4.53,2.12
humor,8.2,0.92,4.3,2.45
hate,2.92,2.31,7.33,2.35
